TIPO_VIA;SINONIMO;DESCRIPCION;COMENTARIO
RCDA;RENTO;RINCONADA;
RCON;RACO;RINCON;
RCON;RCON;RINCON;
RENTO;RCDA;RECANTO;
RENTO;RENTO;RECANTO;
RIERA;ARRY;RIERA;
RIERA;ERREK;RIERA;
RIERA;RIERA;RIERA;
RONDA;RONDA;RONDA;
RPLCT;RPLCT;REPLACETA;
RTDA;RTDA;ROTONDA;
RUA;C;RUA;
RUA;C/;RUA;
RUA;CALLE;RUA;
RUA;CARRE;RUA;
RUA;KALE;RUA;
RUA;KALEA;RUA;
RUA;KARRI;RUA;
RUA;RUA;RUA;
RUELA;CJLA;RUELA;
RUELA;CLLJA;RUELA;
RUELA;KARIK;RUELA;
RUELA;RUELA;RUELA;
RUELA;RUELA;RUELA;
RUERO;RUERO;RUEIRO;
SARBI;ACCE;SARBIDE;
SARBI;ACCES;SARBIDE;
SARBI;SARBI;SARBIDE;
SBIDA;GORAB;SUBIDA;
SBIDA;PJDA;GORABIDE;
SBIDA;SBIDA;SUBIDA;
SECT;SECT;SECTOR;
SECT;SEKT;SECTOR;
SEDER;CRROL;SENDER;
SEDER;SEDER;SENDER;
SEDER;SENDA;SENDER;
SEDRA;SEDRA;SENDERA;
SEKT;SECT;SEKTORE;
SEKT;SEKT;SEKTORE;
SEND;SEND;SENDERO;
SEND;VIANY;SENDERO;
SENDA;CRROL;SENDA;
SENDA;SEDER;SENDA;
SENDA;SENDA;SENDA;
SLIDA;SLIDA;SALIDA;
SVTIA;CMNO;SERVENTIA;
SVTIA;SVTIA;SERVENTIA;
TALDE;ETXAD;TALDE;
TALDE;GRUP;TALDE;
TALDE;GRUPO;TALDE;
TALDE;TALDE;TALDE;
TOKI;PRAGE;TOKI;
TOKI;PRAJE;TOKI;
TOKI;PSAXE;TOKI;
TOKI;TOKI;TOKI;
TORRE;TORRE;TORRE;
TRANS;TRANS;TRANSITO;
TRAS;ETXAT;TRASERA;
TRAS;TRAS;TRASERA;
TRAV;TRAV;TRAVESSERA;
TRAV;TRSSI;TRAVESSERA;
TRAV;TRVA;TRAVESSERA;
TRAV;TRVSA;TRAVESSERA;
TRRNT;TRRNT;TORRENT;
TRSSI;TRAV;TRAVESSIA;
TRSSI;TRSSI;TRAVESSIA;
TRSSI;TRVA;TRAVESSIA;
TRSSI;TRVSA;TRAVESSERA;
TRVA;TRAV;TRAVESIA;
TRVA;TRSSI;TRAVESIA;
TRVA;TRVA;TRAVESIA;
TRVAL;TRVAL;TRANSVERSAL;
TRVSA;TRAV;TRAVESA;
TRVSA;TRSSI;TRAVESA;
TRVSA;TRVSA;TRAVESA;
TUNEL;TUNEL;TUNEL;
TURO;CERRO;TURO;
TURO;TURO;TURO;
URB;URB;URBANIZACION;
URB;URBAT;URBANIZACION;
URB;URBAZ;URBANIZACION;
URBAT;URB;URBANITZACIO;
URBAT;URBAT;URBANITZACIO;
URBAT;URBAZ;URBANITZACIO;
URBAZ;URB;URBANIZAZIO;
URBAZ;URBAT;URBANIZAZIO;
URBAZ;URBAZ;URBANIZAZIO;
VALLE;VALLE;VALLE;
VCTO;VCTO;VIADUCTO;
VCTO;VIAD;VIADUCTO;
VEGA;ERRIB;VEGA;
VEGA;VEGA;VEGA;
VENAT;VENAT;VEINAT;
VENAT;VNAT;VEINAT;
VENLA;VENLA;VENELA;
VIA;BIDE;VIA;
VIA;BIDEA;VIA;
VIA;VIA;VIA;
VIAD;VCTO;VIADUCTE;
VIAD;VIAD;VIADUCTE;
VIAL;VIAL;VIAL;
VIANY;SEND;VIARANY;
VIANY;VIANY;VIARANY;
VNAT;VENAT;VEÏNAT;
VNAT;VNAT;VEÏNAT;
VNERA;VNERA;VENERA;
VREDA;VREDA;VEREDA;
XDIN;JDIN;XARDIN;
XDIN;LORAK;XARDIN;
XDIN;LORAT;XARDIN;
XDIN;XDIN;XARDIN;
ZEHAR;ZEHAR;ZEHARKALEA;
ZONA;ALD;ZONA;
ZONA;GUNEA;ZONA;
ZONA;ZONA;ZONA;
ZUBI;ZUBI;ZUBI;
ZUHAI;ARB;ZUHAIZTI;
ZUHAI;ZUHAI;ZUHAIZTI;
ZUMAR;ALAM;ZUMARDI;
ZUMAR;ZUMAR;ZUMARDI;
